"state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year"
"ID",1e+05,47,4700000,2679000,0.52,2444000,2000
"IL",8000,61,488000,146000,1.17,571000,2000
"IN",8000,65,520000,286000,1.03,536000,2000
"IA",30000,67,2010000,1206000,0.68,1367000,2000
"KS",15000,68,1020000,520000,0.91,928000,2000
"KY",4000,48,192000,54000,1.35,259000,2000
"LA",43000,94,4042000,1334000,0.52,2102000,2000
"ME",11000,21,231000,143000,0.75,173000,2000
"MD",6000,46,276000,52000,1.14,315000,2000
"MI",72000,75,5400000,2970000,0.6,3240000,2000
"MN",150000,90,13500000,3105000,0.57,7695000,2000
"MS",17000,72,1224000,649000,0.69,845000,2000
"MO",23000,75,1725000,362000,0.6,1035000,2000
"MT",124000,88,10912000,4692000,0.59,6438000,2000
"NE",50000,87,4350000,2610000,0.59,2567000,2000
"NV",10000,35,350000,95000,1.45,508000,2000
"NJ",11000,35,385000,2e+05,0.61,235000,2000
"NM",15000,64,960000,739000,0.72,691000,2000
"NY",58000,80,4640000,2274000,0.55,2552000,2000
"NC",11000,49,539000,243000,1.43,771000,2000
"ND",3e+05,115,34500000,13800000,0.57,19665000,2000
"OH",18000,65,1170000,585000,0.79,924000,2000
"OK",7000,35,245000,64000,1.26,309000,2000
"OR",48000,51,2448000,1665000,0.66,1616000,2000
"PA",25000,45,1125000,630000,0.76,855000,2000
"SD",235000,121,28435000,12796000,0.58,16492000,2000
"TN",9000,61,549000,104000,1.43,785000,2000
"TX",105000,79,8295000,2986000,0.57,4728000,2000
"UT",24000,41,984000,462000,0.6,590000,2000
"VT",7000,59,413000,211000,0.68,281000,2000
"VA",7000,42,294000,103000,1.5,441000,2000
"WA",52000,54,2808000,1151000,0.58,1629000,2000
"WV",7000,54,378000,234000,1.22,461000,2000
"WI",84000,90,7560000,4385000,0.68,5141000,2000
"WY",39000,93,3627000,798000,0.59,2140000,2000
"AL",14000,73,1022000,235000,0.72,736000,2001
"AZ",43000,59,2537000,1142000,0.72,1827000,2001
"AR",50000,98,4900000,1617000,0.65,3185000,2001
"CA",460000,61,28060000,7857000,0.69,19361000,2001
"CO",26000,55,1430000,529000,0.71,1015000,2001
"FL",220000,100,2.2e+07,3432000,0.64,14080000,2001
"GA",55000,57,3135000,188000,0.7,2195000,2001
"HI",8000,87,696000,84000,0.87,606000,2001
"ID",1e+05,46,4600000,1610000,0.67,3082000,2001
"IL",6000,76,456000,251000,1.58,720000,2001
"IN",7000,76,532000,186000,0.92,489000,2001
"IA",33000,51,1683000,875000,0.75,1262000,2001
"KS",13000,51,663000,530000,0.96,636000,2001
"KY",4000,78,312000,125000,1.41,440000,2001
"LA",45000,106,4770000,572000,0.6,2862000,2001
"ME",11000,20,220000,106000,0.79,174000,2001
"MD",4000,46,184000,55000,1.6,294000,2001
"MI",76000,60,4560000,2827000,0.81,3694000,2001
"MN",135000,81,10935000,1859000,0.65,7108000,2001
"MS",17000,66,1122000,224000,0.89,999000,2001
"MO",22000,61,1342000,336000,0.71,953000,2001
"MT",136000,102,13872000,4578000,0.67,9294000,2001
"NE",43000,48,2064000,1115000,0.72,1486000,2001
"NV",9000,50,450000,36000,2.14,963000,2001
"NJ",11000,34,374000,71000,0.85,318000,2001
"NM",10000,70,7e+05,350000,0.66,462000,2001
"NY",53000,70,3710000,1781000,0.79,2931000,2001
"NC",13000,44,572000,172000,1.48,847000,2001
"ND",280000,96,26880000,9408000,0.69,18547000,2001
"OH",18000,81,1458000,569000,1.01,1473000,2001
"OK",4000,47,188000,105000,1.43,269000,2001
"OR",44000,44,1936000,1200000,0.74,1433000,2001
"PA",26000,57,1482000,785000,0.92,1363000,2001
"SC",7000,40,280000,67000,0.79,221000,2001
"SD",235000,65,15275000,12220000,0.71,10845000,2001
"TN",8000,59,472000,131000,1.39,656000,2001
"TX",97000,79,7663000,1533000,0.65,4981000,2001
"UT",23000,38,874000,315000,0.65,568000,2001
"VT",7000,81,567000,249000,0.92,522000,2001
"VA",9000,52,468000,94000,1.26,590000,2001
"WA",48000,52,2496000,1048000,0.72,1797000,2001
"WV",7000,65,455000,410000,1.42,646000,2001
"WI",67000,81,5427000,3419000,0.82,4450000,2001
"WY",38000,77,2926000,468000,0.65,1902000,2001
"AL",12000,86,1032000,103000,1.18,1218000,2002
"AZ",38000,63,2394000,1197000,1.08,2586000,2002
"AR",45000,88,3960000,871000,1.26,4990000,2002
"CA",470000,50,23500000,3525000,1.32,31020000,2002
"CO",24000,60,1440000,576000,1.29,1858000,2002
"FL",220000,93,20460000,2026000,1.14,23324000,2002
"GA",50000,52,2600000,52000,1.13,2938000,2002
"HI",7000,136,952000,29000,1.11,1057000,2002
"ID",1e+05,57,5700000,1653000,1.37,7809000,2002
"IL",9000,80,720000,130000,1.47,1058000,2002
"IN",8000,62,496000,233000,1.19,590000,2002
"IA",33000,70,2310000,901000,1.43,3303000,2002
"KS",17000,52,884000,407000,1.5,1326000,2002
"KY",5000,54,270000,78000,1.63,440000,2002
"LA",35000,124,4340000,347000,1.16,5034000,2002
"ME",11000,41,451000,266000,1.21,546000,2002
"MD",3000,46,138000,21000,1.96,270000,2002
"MI",72000,77,5544000,1885000,1.4,7762000,2002
"MN",117000,73,8541000,1110000,1.47,12555000,2002
"MS",18000,78,1404000,281000,1.23,1727000,2002
"MO",18000,50,9e+05,189000,1.42,1278000,2002
"MT",134000,63,8442000,1097000,1.38,11650000,2002
"NE",43000,75,3225000,1161000,1.49,4805000,2002
"NV",9000,62,558000,61000,2.67,1490000,2002
"NJ",11000,40,440000,92000,1,440000,2002
"NM",11000,44,484000,252000,1.1,532000,2002
"NY",60000,98,5880000,2470000,1.25,7350000,2002
"NC",16000,42,672000,74000,1.41,948000,2002
"ND",320000,75,2.4e+07,8160000,1.46,35040000,2002
"OH",18000,70,1260000,504000,1.44,1814000,2002
"OK",3000,53,159000,51000,1.63,259000,2002
"OR",43000,49,2107000,885000,1.35,2844000,2002
"PA",29000,57,1653000,827000,1.34,2215000,2002
"SC",5000,94,470000,14000,1.25,588000,2002
"SD",225000,51,11475000,2410000,1.42,16295000,2002
"TN",8000,61,488000,137000,1.4,683000,2002
"TX",114000,67,7638000,985000,1.14,8707000,2002
"UT",22000,59,1298000,208000,1.3,1687000,2002
"VT",7000,89,623000,274000,1.2,748000,2002
"VA",8000,38,304000,79000,1.9,578000,2002
"WA",50000,51,2550000,561000,1.27,3239000,2002
"WV",9000,51,459000,151000,1.32,606000,2002
"WI",70000,95,6650000,2461000,1.34,8911000,2002
"WY",38000,63,2394000,383000,1.33,3184000,2002
"AL",13000,82,1066000,43000,1.24,1322000,2003
"AZ",35000,72,2520000,983000,1.34,3377000,2003
"AR",40000,75,3e+06,810000,1.26,3780000,2003
"CA",480000,67,32160000,6432000,1.39,44702000,2003
"CO",24000,86,2064000,722000,1.4,2890000,2003
"FL",210000,71,14910000,1491000,1.32,19681000,2003
"GA",52000,65,3380000,270000,1.28,4326000,2003
"HI",7000,114,798000,43000,1.45,1157000,2003
"ID",1e+05,46,4600000,1380000,1.33,6118000,2003
"IL",7000,60,420000,252000,1.83,769000,2003
"IN",5000,56,280000,78000,1.66,465000,2003
"IA",32000,59,1888000,868000,1.42,2681000,2003
"KS",16000,57,912000,447000,1.41,1286000,2003
"KY",5000,48,240000,14000,1.67,401000,2003
"LA",34000,90,3060000,275000,1.24,3794000,2003
"ME",8000,33,264000,145000,1.41,372000,2003
"MD",2000,42,84000,21000,1.93,162000,2003
"MI",65000,74,4810000,1732000,1.41,6782000,2003
"MN",120000,83,9960000,1892000,1.44,14342000,2003
"MS",21000,69,1449000,246000,1.29,1869000,2003
"MO",17000,53,901000,189000,1.41,1270000,2003
"MT",145000,66,9570000,1914000,1.44,13781000,2003
"NE",45000,74,3330000,1299000,1.38,4595000,2003
"NV",6000,64,384000,46000,2.04,783000,2003
"NJ",10000,19,190000,101000,1.6,304000,2003
"NM",6000,41,246000,108000,1.2,295000,2003
"NY",67000,72,4824000,1640000,1.36,6561000,2003
"NC",10000,44,440000,79000,1.92,845000,2003
"ND",340000,87,29580000,6803000,1.36,40229000,2003
"OH",15000,50,750000,278000,1.4,1050000,2003
"OK",3000,47,141000,69000,1.84,259000,2003
"OR",42000,51,2142000,964000,1.27,2720000,2003
"PA",27000,50,1350000,419000,1.44,1944000,2003
"SC",4000,70,280000,8000,1.89,529000,2003
"SD",215000,70,15050000,2709000,1.43,21522000,2003
"TN",6000,40,240000,46000,1.52,365000,2003
"TX",140000,67,9380000,1126000,1.4,13132000,2003
"UT",25000,57,1425000,157000,1.28,1824000,2003
"VT",7000,83,581000,163000,1.96,1139000,2003
"VA",6000,37,222000,69000,1.68,373000,2003
"WA",58000,56,3248000,942000,1.46,4742000,2003
"WV",8000,47,376000,194000,1.89,711000,2003
"WI",74000,77,5698000,2678000,1.47,8376000,2003
"WY",39000,81,3159000,474000,1.41,4454000,2003
"AL",12000,87,1044000,282000,1.41,1472000,2004
"AZ",32000,55,1760000,774000,1.11,1954000,2004
"AR",40000,57,2280000,388000,0.87,1984000,2004
"CA",390000,45,17550000,5792000,1.05,18428000,2004
"CO",23000,80,1840000,791000,1.35,2484000,2004
"FL",205000,98,20090000,2009000,1.02,20492000,2004
"GA",63000,49,3087000,648000,1.2,3704000,2004
"HI",8000,96,768000,77000,1.59,1221000,2004
"ID",1e+05,63,6300000,2520000,1.02,6426000,2004
"IL",7000,55,385000,193000,1.86,716000,2004
"IN",7000,59,413000,145000,1.47,607000,2004
"IA",35000,67,2345000,1337000,1.06,2486000,2004
"KS",14000,80,1120000,683000,1.18,1322000,2004
"KY",5000,56,280000,34000,1.96,549000,2004
"LA",35000,98,3430000,240000,0.79,2710000,2004
"ME",7000,31,217000,37000,1.28,278000,2004
"MI",65000,67,4355000,2439000,1.16,5052000,2004
"MN",135000,75,10125000,1924000,1.08,10935000,2004
"MS",18000,65,1170000,421000,0.79,924000,2004
"MO",16000,41,656000,151000,1.36,892000,2004
"MT",140000,77,10780000,3773000,1.08,11642000,2004
"NE",51000,89,4539000,2043000,1.01,4584000,2004
"NV",14000,55,770000,316000,1.78,1371000,2004
"NJ",12000,27,324000,45000,1.4,454000,2004
"NM",8000,44,352000,127000,1.19,419000,2004
"NY",64000,67,4288000,1887000,1.36,5832000,2004
"NC",9000,40,360000,72000,1.93,695000,2004
"ND",390000,78,30420000,9126000,1.05,31941000,2004
"OH",16000,58,928000,353000,1.53,1420000,2004
"OR",42000,54,2268000,1111000,1.21,2744000,2004
"PA",30000,54,1620000,810000,1.42,2300000,2004
"SD",215000,105,22575000,13545000,1.01,22801000,2004
"TN",6000,54,324000,91000,1.73,561000,2004
"TX",116000,76,8816000,1411000,0.97,8552000,2004
"UT",24000,70,1680000,554000,1.1,1848000,2004
"VT",6000,68,408000,192000,1.51,616000,2004
"VA",7000,38,266000,69000,2.1,559000,2004
"WA",56000,63,3528000,1376000,0.98,3457000,2004
"WV",9000,55,495000,183000,1.41,698000,2004
"WI",68000,86,5848000,2632000,1.19,6959000,2004
"WY",39000,75,2925000,380000,1.1,3218000,2004
"AL",13000,66,858000,266000,1.02,875000,2005
"AZ",36000,50,1800000,720000,1.04,1872000,2005
"AR",36000,69,2484000,571000,0.97,2409000,2005
"CA",4e+05,75,3e+07,9300000,0.86,25800000,2005
"CO",28000,70,1960000,902000,0.97,1901000,2005
"FL",160000,86,13760000,2477000,0.87,11971000,2005
"GA",59000,49,2891000,434000,0.89,2573000,2005
"HI",9000,131,1179000,283000,1.43,1686000,2005
"ID",95000,37,3515000,1793000,0.8,2812000,2005
"IL",8000,85,680000,408000,1.84,1251000,2005
"IN",8000,64,512000,189000,1.18,604000,2005
"IA",28000,88,2464000,1232000,1.21,2981000,2005
"KS",16000,50,8e+05,328000,1.05,840000,2005
"KY",5000,50,250000,40000,2.08,520000,2005
"LA",35000,97,3395000,611000,0.72,2444000,2005
"ME",8000,26,208000,193000,1.66,345000,2005
"MI",65000,68,4420000,2519000,0.94,4155000,2005
"MN",120000,74,8880000,1598000,0.9,7992000,2005
"MS",16000,80,1280000,346000,0.67,858000,2005
"MO",15000,50,750000,180000,1.22,915000,2005
"MT",130000,67,8710000,3136000,0.86,7491000,2005
"NE",40000,68,2720000,2530000,0.87,2366000,2005
"NV",12000,46,552000,442000,3.11,1717000,2005
"NJ",12000,32,384000,104000,1.2,461000,2005
"NM",7000,49,343000,113000,1.03,353000,2005
"NY",59000,73,4307000,2283000,1.34,5771000,2005
"NC",10000,54,540000,146000,1.88,1015000,2005
"ND",370000,91,33670000,8418000,0.83,27946000,2005
"OH",15000,69,1035000,580000,1.4,1449000,2005
"OR",39000,42,1638000,557000,1.08,1769000,2005
"PA",28000,56,1568000,8e+05,1.12,1756000,2005
"SD",220000,79,17380000,11818000,0.83,14425000,2005
"TN",7000,55,385000,92000,1.67,643000,2005
"TX",84000,71,5964000,954000,0.86,5129000,2005
"UT",24000,45,1080000,346000,0.95,1026000,2005
"VT",6000,91,546000,169000,1.12,612000,2005
"VA",8000,37,296000,59000,2.2,651000,2005
"WA",51000,55,2805000,1935000,1.01,2833000,2005
"WV",8000,51,408000,102000,1.29,526000,2005
"WI",64000,83,5312000,2922000,1.14,6056000,2005
"WY",40000,56,2240000,291000,0.89,1994000,2005
"AL",11000,72,792000,230000,1.21,958000,2006
"AZ",30000,65,1950000,839000,0.91,1775000,2006
"AR",32000,76,2432000,730000,0.89,2164000,2006
"CA",380000,52,19760000,7706000,0.97,19167000,2006
"CO",36000,75,2700000,1458000,1.04,2808000,2006
"FL",170000,81,13770000,1790000,1,13770000,2006
"GA",63000,74,4662000,746000,1.2,5594000,2006
"HI",10000,93,930000,233000,1.21,1125000,2006
"ID",95000,44,4180000,2592000,0.97,4055000,2006
"IL",10000,66,660000,356000,2.14,1412000,2006
"IN",7000,54,378000,125000,1.58,597000,2006
"IA",26000,84,2184000,1441000,1.37,2992000,2006
"KS",14000,55,770000,246000,1.17,901000,2006
"KY",5000,56,280000,70000,2.19,613000,2006
"LA",30000,90,2700000,675000,0.9,2430000,2006
"ME",11000,23,253000,86000,1.6,405000,2006
"MI",72000,55,3960000,2099000,1.15,4554000,2006
"MN",125000,80,1e+07,3300000,0.94,9400000,2006
"MS",14000,98,1372000,453000,0.93,1276000,2006
"MO",15000,46,690000,117000,0.98,676000,2006
"MT",132000,79,10428000,1981000,0.95,9907000,2006
"NE",47000,73,3431000,3843000,0.93,3191000,2006
"NV",9000,37,333000,50000,3.62,1205000,2006
"NJ",9000,36,324000,152000,1.14,369000,2006
"NM",7000,48,336000,104000,1.19,4e+05,2006
"NY",58000,64,3712000,2376000,1.3,4826000,2006
"NC",10000,50,5e+05,215000,1.57,785000,2006
"ND",350000,74,25900000,7770000,0.91,23569000,2006
"OH",14000,56,784000,282000,1.4,1098000,2006
"OR",46000,48,2208000,729000,1.05,2318000,2006
"PA",28000,40,1120000,605000,1.63,1826000,2006
"SD",225000,47,10575000,10575000,0.94,9941000,2006
"TN",7000,55,385000,58000,1.84,708000,2006
"TX",82000,70,5740000,976000,0.89,5109000,2006
"UT",26000,50,1300000,299000,0.98,1274000,2006
"VT",6000,56,336000,144000,1.2,403000,2006
"VA",8000,42,336000,114000,2.2,739000,2006
"WA",49000,52,2548000,1605000,1.24,3160000,2006
"WV",6000,42,252000,68000,2.02,509000,2006
"WI",64000,93,5952000,2500000,1.12,6666000,2006
"WY",39000,85,3315000,497000,0.98,3249000,2006
"AL",11000,56,616000,209000,1.49,918000,2007
"AZ",30000,64,1920000,902000,1.26,2419000,2007
"AR",28000,80,2240000,672000,0.95,2128000,2007
"CA",340000,40,13600000,3672000,1.04,14144000,2007
"CO",31000,51,1581000,838000,1.15,1818000,2007
"FL",160000,71,11360000,1363000,0.99,11246000,2007
"GA",60000,58,3480000,522000,1.19,4141000,2007
"HI",10000,92,920000,285000,1.7,1564000,2007
"ID",92000,41,3772000,1848000,1.15,4338000,2007
"IL",9000,63,567000,374000,2.49,1412000,2007
"IN",8000,53,424000,119000,1.5,636000,2007
"IA",26000,81,2106000,1221000,1.31,2759000,2007
"KS",14000,40,560000,196000,1.18,661000,2007
"KY",4000,61,244000,54000,2.12,517000,2007
"LA",29000,89,2581000,413000,1.08,2787000,2007
"ME",9000,26,234000,59000,1.32,309000,2007
"MI",72000,64,4608000,2350000,1.19,5484000,2007
"MN",130000,68,8840000,2564000,1.04,9194000,2007
"MS",15000,92,1380000,166000,0.91,1256000,2007
"MO",14000,46,644000,148000,1.12,721000,2007
"MT",135000,68,9180000,2479000,0.99,9088000,2007
"NE",45000,49,2205000,1477000,1.03,2271000,2007
"NV",10000,28,280000,67000,2.99,837000,2007
"NJ",9000,57,513000,185000,1.96,1005000,2007
"NM",6000,59,354000,138000,1.42,503000,2007
"NY",53000,57,3021000,1843000,1.38,4169000,2007
"NC",12000,45,540000,76000,2.49,1345000,2007
"ND",420000,74,31080000,9013000,0.96,29837000,2007
"OH",14000,61,854000,376000,1.77,1512000,2007
"OR",46000,43,1978000,1088000,1.31,2591000,2007
"PA",25000,42,1050000,326000,1.7,1785000,2007
"SD",255000,52,13260000,10608000,1.02,13525000,2007
"TN",7000,65,455000,114000,1.99,905000,2007
"TX",105000,82,8610000,1550000,0.96,8266000,2007
"UT",28000,42,1176000,270000,1.13,1329000,2007
"VT",5000,64,320000,96000,1.7,544000,2007
"VA",6000,46,276000,63000,2.43,671000,2007
"WA",46000,44,2024000,648000,1.25,2530000,2007
"WV",6000,48,288000,95000,2.09,602000,2007
"WI",60000,84,5040000,3024000,1.22,6149000,2007
"WY",43000,80,3440000,894000,1,3440000,2007
"AL",9000,66,594000,214000,1.9,1129000,2008
"AZ",25000,64,1600000,336000,1.26,2016000,2008
"AR",28000,75,2100000,525000,1.35,2835000,2008
"CA",360000,51,18360000,4039000,1.39,25520000,2008
"CO",27000,45,1215000,656000,1.51,1835000,2008
"FL",150000,79,11850000,1304000,1.32,15642000,2008
"GA",65000,71,4615000,369000,1.52,7015000,2008
"HI",10000,90,9e+05,225000,1.59,1431000,2008
"ID",90000,40,3600000,1440000,1.46,5256000,2008
"IL",8000,56,448000,116000,2.59,1160000,2008
"IN",7000,67,469000,150000,1.68,788000,2008
"IA",24000,62,1488000,580000,1.58,2351000,2008
"KS",10000,61,610000,128000,1.55,946000,2008
"KY",4000,39,156000,27000,2.44,381000,2008
"LA",40000,77,3080000,493000,1.36,4189000,2008
"ME",7000,42,294000,79000,1.57,462000,2008
"MI",71000,73,5183000,2021000,1.44,7464000,2008
"MN",122000,78,9516000,2569000,1.39,13227000,2008
"MS",14000,98,1372000,110000,1.3,1784000,2008
"MO",11000,53,583000,152000,1.68,979000,2008
"MT",134000,70,9380000,4596000,1.37,12851000,2008
"NE",36000,67,2412000,1254000,1.45,3497000,2008
"NV",10000,29,290000,52000,1.42,412000,2008
"NJ",9000,40,360000,122000,1.62,583000,2008
"NM",6000,48,288000,95000,1.48,426000,2008
"NY",50000,70,3500000,1260000,1.65,5775000,2008
"NC",12000,52,624000,137000,2.18,1360000,2008
"ND",4e+05,90,3.6e+07,8640000,1.36,48960000,2008
"OH",14000,53,742000,371000,1.68,1247000,2008
"OR",50000,43,2150000,1097000,1.41,3032000,2008
"PA",23000,48,1104000,276000,1.65,1822000,2008
"SD",225000,95,21375000,11970000,1.34,28643000,2008
"TN",7000,61,427000,149000,2.09,892000,2008
"TX",77000,64,4928000,1380000,1.34,6604000,2008
"UT",28000,48,1344000,242000,1.57,2110000,2008
"VT",5000,66,330000,119000,2.2,726000,2008
"VA",6000,42,252000,45000,2.42,610000,2008
"WA",49000,44,2156000,862000,1.51,3256000,2008
"WV",6000,43,258000,49000,2.16,557000,2008
"WI",58000,80,4640000,2366000,1.5,6960000,2008
"WY",39000,61,2379000,381000,1.37,3259000,2008
"AL",9000,50,450000,68000,1.86,837000,2009
"AZ",20000,52,1040000,562000,1.45,1508000,2009
"AR",24000,57,1368000,301000,1.42,1943000,2009
"CA",355000,33,11715000,2109000,1.39,16284000,2009
"CO",28000,53,1484000,326000,1.43,2122000,2009
"FL",170000,68,11560000,1618000,1.42,16415000,2009
"GA",65000,41,2665000,346000,1.47,3918000,2009
"HI",10000,95,950000,323000,1.76,1672000,2009
"ID",103000,46,4738000,1706000,1.52,7202000,2009
"IL",8000,34,272000,57000,2.55,694000,2009
"IN",9000,32,288000,101000,2.02,582000,2009
"IA",26000,42,1092000,339000,1.6,1747000,2009
"KS",9000,63,567000,164000,1.85,1049000,2009
"KY",5000,35,175000,25000,2.71,474000,2009
"LA",37000,103,3811000,610000,1.36,5183000,2009
"ME",6000,50,3e+05,51000,1.95,585000,2009
"MI",66000,60,3960000,1505000,1.55,6138000,2009
"MN",122000,65,7930000,1427000,1.44,11419000,2009
"MS",14000,104,1456000,87000,1.32,1922000,2009
"MO",11000,47,517000,57000,1.99,1029000,2009
"MT",146000,70,10220000,3577000,1.46,14921000,2009
"NE",48000,56,2688000,1102000,1.46,3924000,2009
"NJ",11000,32,352000,70000,2.36,831000,2009
"NM",7000,60,420000,143000,1.59,668000,2009
"NY",45000,65,2925000,936000,1.93,5645000,2009
"NC",11000,45,495000,84000,2.57,1272000,2009
"ND",450000,77,34650000,7623000,1.38,47817000,2009
"OH",11000,50,550000,132000,2.81,1546000,2009
"OR",55000,34,1870000,767000,1.54,2880000,2009
"PA",21000,40,840000,319000,2.03,1705000,2009
"SD",270000,66,17820000,6237000,1.42,25304000,2009
"TN",7000,51,357000,86000,2.37,846000,2009
"TX",89000,63,5607000,1065000,1.39,7794000,2009
"UT",26000,38,988000,198000,1.46,1442000,2009
"VT",5000,49,245000,69000,2.01,492000,2009
"VA",6000,39,234000,56000,3.45,807000,2009
"WA",62000,44,2728000,1064000,1.58,4310000,2009
"WV",5000,37,185000,33000,2.6,481000,2009
"WI",63000,60,3780000,1588000,1.58,5972000,2009
"WY",37000,48,1776000,391000,1.43,2540000,2009
"AL",9000,54,486000,73000,2.4,1166000,2010
"AZ",24000,77,1848000,665000,1.52,2809000,2010
"AR",25000,60,1500000,360000,1.47,2205000,2010
"CA",410000,67,27470000,6318000,1.55,42579000,2010
"CO",34000,56,1904000,533000,1.52,2894000,2010
"FL",2e+05,69,13800000,1794000,1.56,21528000,2010
"GA",55000,46,2530000,152000,1.67,4225000,2010
"HI",10000,77,770000,239000,2.75,2118000,2010
"ID",97000,27,2619000,1179000,1.61,4217000,2010
"IL",9000,41,369000,92000,2.78,1026000,2010
"IN",10000,43,430000,151000,2.23,959000,2010
"IA",27000,49,1323000,463000,1.92,2540000,2010
"KS",9000,52,468000,103000,2.02,945000,2010
"KY",5000,67,335000,67000,2.72,911000,2010
"LA",36000,80,2880000,288000,1.5,4320000,2010
