,id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,load_time
112,13612685,2020-12-05,4336973,103469.0,289932,4487.0,1481314.0,28688.0,09:54.1
113,14064683,2020-05-13,4434590,97617.0,296252,6320.0,1540464.0,59150.0,09:54.1
114,14494766,2020-05-14,4531811,97221.0,301937,5685.0,1583929.0,43465.0,09:54.1
115,14923458,2020-05-15,4626632,94821.0,307001,5064.0,1632286.0,48357.0,09:54.1
116,15332735,2020-05-16,4710614,83982.0,311363,4362.0,1679428.0,47142.0,09:54.1
117,15763695,2020-05-17,4786672,76058.0,315023,3660.0,1732344.0,52916.0,09:54.1
118,16188753,2020-05-18,4889287,102615.0,317695,2672.0,1776641.0,44297.0,09:54.1
119,16631510,2020-05-19,4968689,79402.0,322683,4988.0,1679155.0,-97486.0,09:54.1
120,17054212,2020-05-20,5076846,108157.0,326515,3832.0,1885535.0,206380.0,09:54.1
121,17464727,2020-05-21,5180982,104136.0,332425,5910.0,1936947.0,51412.0,09:54.1
122,17857536,2020-05-22,5280743,99761.0,336432,4007.0,1992496.0,55549.0,09:54.1
123,18284171,2020-05-23,5383582,102839.0,340477,4045.0,2090465.0,97969.0,09:54.1
124,18684563,2020-05-24,5471768,88186.0,344077,3600.0,2158031.0,67566.0,09:54.1
125,19070668,2020-05-25,5559130,87362.0,344911,834.0,2223523.0,65492.0,09:54.1
126,19507722,2020-05-26,5682389,123259.0,348610,3699.0,2271268.0,47745.0,09:54.1
127,20116729,2020-05-27,5803416,121027.0,354944,6334.0,2337385.0,66117.0,09:54.1
128,20686443,2020-05-28,5916464,113048.0,359791,4847.0,2399247.0,61862.0,09:54.1
129,21233502,2020-05-29,6048384,131920.0,364357,4566.0,2486634.0,87387.0,09:54.1
130,21797053,2020-05-30,6132154,83770.0,368604,4247.0,2538227.0,51593.0,09:54.1
131,22323956,2020-05-31,6246042,113888.0,371154,2550.0,2631567.0,93340.0,09:54.1
132,22918439,2020-01-06,6325303,79261.0,374452,3298.0,2687848.0,56281.0,09:54.1
133,23455228,2020-02-06,6444298,118995.0,377460,3008.0,2727679.0,39831.0,09:54.1
134,24042086,2020-03-06,6573286,128988.0,382435,4975.0,2764304.0,36625.0,09:54.1
135,24518546,2020-04-06,6722408,149122.0,387898,5463.0,2837955.0,73651.0,09:54.1
136,25045072,2020-05-06,6852810,130402.0,393934,6036.0,2996534.0,158579.0,09:54.1
137,25563431,2020-06-06,6979789,126979.0,398211,4277.0,3071142.0,74608.0,09:54.1
138,26103673,2020-07-06,7085894,106105.0,401848,3637.0,3130301.0,59159.0,09:54.1
139,26651309,2020-08-06,7185573,99679.0,405168,3320.0,3180479.0,50178.0,09:54.1
140,27209200,2020-09-06,7313661,128088.0,408954,3786.0,3352665.0,172186.0,09:54.1
141,27755055,2020-10-06,7414050,100389.0,413854,4900.0,3442630.0,89965.0,09:54.1
142,28159408,2020-11-06,7617591,203541.0,417514,3660.0,3488251.0,45621.0,09:54.1
143,28865518,2020-12-06,7715890,98299.0,424587,7073.0,3601584.0,113333.0,09:54.1
144,29356304,2020-06-13,7835340,119450.0,427670,3083.0,3662834.0,61250.0,09:54.1
145,29863712,2020-06-14,7963453,128113.0,431141,3471.0,3733612.0,70778.0,09:54.1
146,30354143,2020-06-15,8085932,122479.0,434432,3291.0,3809566.0,75954.0,09:54.1
147,30861106,2020-06-16,8261260,175328.0,438453,4021.0,3918176.0,108610.0,09:54.1
148,31454902,2020-06-17,8400320,139060.0,445468,7015.0,4013202.0,95026.0,09:54.1
149,32032389,2020-06-18,8519543,119223.0,450435,4967.0,4109183.0,95981.0,09:54.1
150,32608187,2020-06-19,8716985,197442.0,454582,4147.0,4184445.0,75262.0,09:54.1
151,33194606,2020-06-20,8802328,85343.0,461206,6624.0,4286643.0,102198.0,09:54.1
152,33780214,2020-06-21,9030328,228000.0,464620,3414.0,4372440.0,85797.0,09:54.1
153,34412776,2020-06-22,9154232,123904.0,469939,5319.0,4475013.0,102573.0,09:54.1
154,34940271,2020-06-23,9237691,83459.0,473650,3711.0,4585022.0,110009.0,09:54.1
155,35481457,2020-06-24,9494571,256880.0,476911,3261.0,4613425.0,28403.0,09:54.1
156,36079943,2020-06-25,9641472,146901.0,484155,7244.0,4782910.0,169485.0,09:54.1
157,36691575,2020-06-26,9891727,250255.0,489990,5835.0,4865562.0,82652.0,09:54.1
158,37296710,2020-06-27,10044731,153004.0,496075,6085.0,5004567.0,139005.0,09:54.1
159,37923244,2020-06-28,10199798,155067.0,499892,3817.0,5085018.0,80451.0,09:54.1
160,38540643,2020-06-29,10368165,168367.0,502947,3055.0,5169421.0,84403.0,09:54.1
161,39017890,2020-06-30,10512383,144218.0,507188,4241.0,5284524.0,115103.0,09:54.1
162,39305170,2020-01-07,10694288,181905.0,512331,5143.0,5387249.0,102725.0,09:54.1
163,39588896,2020-02-07,10874146,179858.0,516210,3879.0,5480394.0,93145.0,09:54.1
164,39883714,2020-03-07,11169802,295656.0,521355,5145.0,5767410.0,287016.0,09:54.1
165,40158101,2020-04-07,11304534,134732.0,528232,6877.0,6010342.0,242932.0,09:54.1
166,40454707,2020-05-07,11483400,178866.0,531659,3427.0,6111195.0,100853.0,09:54.1
167,40773091,2020-06-07,11694766,211366.0,535027,3368.0,6214206.0,103011.0,09:54.1
168,41187470,2020-07-07,11910220,215454.0,540157,5130.0,6349542.0,135336.0,09:54.1
169,41493640,2020-08-07,12169400,259180.0,546318,6161.0,6506408.0,156866.0,09:54.1
170,41808294,2020-09-07,12373722,204322.0,552104,5786.0,6696322.0,189914.0,09:54.1
171,42121192,2020-10-07,12507849,134127.0,556863,4759.0,6786196.0,89874.0,09:54.1
172,42422452,2020-11-07,12726677,218828.0,560460,3597.0,6890914.0,104718.0,09:54.1
173,42736774,2020-12-07,12945505,218828.0,560460,0.0,6890914.0,0.0,09:54.1
174,43030172,2020-07-13,13203571,258066.0,571444,10984.0,7001675.0,110761.0,09:54.1
175,43478248,2020-07-14,13382020,178449.0,575201,3757.0,7331068.0,329393.0,09:54.1
176,43857614,2020-07-15,13654445,272425.0,580038,4837.0,7445299.0,114231.0,09:54.1
177,44258322,2020-07-16,13926476,272031.0,586174,6136.0,7622505.0,177206.0,09:54.1
178,44599052,2020-07-17,14126035,199559.0,593209,7035.0,7796508.0,174003.0,09:54.1
179,44941161,2020-07-18,14394056,268021.0,598098,4889.0,7931486.0,134978.0,09:54.1
180,45291362,2020-07-19,14608517,214461.0,603697,5599.0,8084942.0,153456.0,09:54.1
181,45587461,2020-07-20,14774887,166370.0,608420,4723.0,8201516.0,116574.0,09:54.1
182,45911736,2020-07-21,15008046,233159.0,611599,3179.0,8340042.0,138526.0,09:54.1
183,46246010,2020-07-22,15429889,421843.0,617902,6303.0,8511330.0,171288.0,09:54.1
184,46554267,2020-07-23,15628936,199047.0,631680,13778.0,8758636.0,247306.0,09:54.1
185,46907010,2020-07-24,15909757,280821.0,636262,4582.0,8917141.0,158505.0,09:54.1
186,47233887,2020-07-25,16117308,207551.0,641889,5627.0,9164700.0,247559.0,09:54.1
187,47556672,2020-07-26,16360298,242990.0,645482,3593.0,9289876.0,125176.0,09:54.1
188,47898855,2020-07-27,16605067,244769.0,650918,5436.0,9454796.0,164920.0,09:54.1
189,48215961,2020-07-28,16845602,240535.0,657337,6419.0,9644387.0,189591.0,09:54.1
190,48551108,2020-07-29,17109335,263733.0,662577,5240.0,9836182.0,191795.0,09:54.1
191,48867829,2020-07-30,17321394,212059.0,668801,6224.0,10000738.0,164556.0,09:54.1
192,49179093,2020-07-31,17594541,273147.0,673822,5021.0,10155026.0,154288.0,09:54.1
193,49484044,2020-01-08,17852451,257910.0,679439,5617.0,10333166.0,178140.0,09:54.1
194,49805367,2020-02-08,18166298,313847.0,679794,355.0,10598327.0,265161.0,09:54.1
195,50117435,2020-03-08,18445787,279489.0,690953,11159.0,10768016.0,169689.0,09:54.1
196,50411990,2020-04-08,18635877,190090.0,691740,787.0,11036083.0,268067.0,09:54.1
197,50718530,2020-05-08,18982658,346781.0,702903,11163.0,11206409.0,170326.0,09:54.1
198,51066302,2020-06-08,19160806,178148.0,712266,9363.0,11477642.0,271233.0,09:54.1
199,51398145,2020-07-08,19481330,320524.0,716083,3817.0,11605114.0,127472.0,09:54.1
200,51709870,2020-08-08,19734428,253098.0,723599,7516.0,11801847.0,196733.0,09:54.1
201,52032571,2020-09-08,19958036,223608.0,728612,5013.0,12001537.0,199690.0,09:54.1
202,52354419,2020-10-08,20185153,227117.0,732889,4277.0,12158075.0,156538.0,09:54.1
