name,city,country
Brough Airport,Blackpool,United Kingdom
Carlisle Airport,Blackpool,United Kingdom
Retford Gamston Airport,Blackpool,United Kingdom
Blackpool International Airport,Blackpool,United Kingdom
Humberside Airport,Blackpool,United Kingdom
Barrow Walney Island Airport,Blackpool,United Kingdom
Leeds Bradford Airport,Blackpool,United Kingdom
Warton Airport,Blackpool,United Kingdom
Hawarden Airport,Blackpool,United Kingdom
Newcastle Airport,Blackpool,United Kingdom
Durham Tees Valley Airport,Blackpool,United Kingdom
East Midlands Airport,Blackpool,United Kingdom
Llanbedr Airport,Blackpool,United Kingdom
RAF Ternhill,Blackpool,United Kingdom
RAF Shawbury,Blackpool,United Kingdom
RAF Woodvale,Blackpool,United Kingdom
Kirkwall Airport,Blackpool,United Kingdom
Sumburgh Airport,Blackpool,United Kingdom
Wick Airport,Blackpool,United Kingdom
Aberdeen Dyce Airport,Blackpool,United Kingdom
Inverness Airport,Blackpool,United Kingdom
Glasgow International Airport,Blackpool,United Kingdom
Edinburgh Airport,Blackpool,United Kingdom
Islay Airport,Blackpool,United Kingdom
Glasgow Prestwick Airport,Blackpool,United Kingdom
Benbecula Airport,Blackpool,United Kingdom
Scatsta Airport,Blackpool,United Kingdom
Dundee Airport,Blackpool,United Kingdom
Stornoway Airport,Blackpool,United Kingdom
Tiree Airport,Blackpool,United Kingdom
RAF Leuchars,Blackpool,United Kingdom
RAF Lossiemouth,Blackpool,United Kingdom
Cambridge Airport,Blackpool,United Kingdom
Peterborough Business Airport,Blackpool,United Kingdom
Norwich International Airport,Blackpool,United Kingdom
London Stansted Airport,Blackpool,United Kingdom
North Weald Airport,Blackpool,United Kingdom
Sheffield City Heliport,Blackpool,United Kingdom
Cranfield Airport,Blackpool,United Kingdom
Exeter International Airport,Blackpool,United Kingdom
Bristol Filton Airport,Blackpool,United Kingdom
Oxford (Kidlington) Airport,Blackpool,United Kingdom
RAF Benson,Blackpool,United Kingdom
RAF Lakenheath,Blackpool,United Kingdom
RAF Mildenhall,Blackpool,United Kingdom
RAF Wattisham,Blackpool,United Kingdom
RAF Wyton,Blackpool,United Kingdom
RAF Fairford,Blackpool,United Kingdom
RAF Brize Norton,Blackpool,United Kingdom
RAF Odiham,Blackpool,United Kingdom
DCAE Cosford Air Base,Blackpool,United Kingdom
RAF Northolt,Blackpool,United Kingdom
RAF Coningsby,Blackpool,United Kingdom
RAF Dishforth,Blackpool,United Kingdom
Leeming Airport,Blackpool,United Kingdom
Leeds East Airport,Blackpool,United Kingdom
RAF Honington,Blackpool,United Kingdom
RAF Cottesmore,Blackpool,United Kingdom
RAF Scampton,Blackpool,United Kingdom
RAF Wittering,Blackpool,United Kingdom
RAF Linton-On-Ouse,Blackpool,United Kingdom
RAF Waddington,Blackpool,United Kingdom
RAF Topcliffe,Blackpool,United Kingdom
RAF Cranwell,Blackpool,United Kingdom
RAF Barkston Heath,Blackpool,United Kingdom
RAF Marham,Blackpool,United Kingdom
Cork Airport,Blackpool,United Kingdom
Galway Airport,Blackpool,United Kingdom
Dublin Airport,Blackpool,United Kingdom
Ireland West Knock Airport,Blackpool,United Kingdom
Kerry Airport,Blackpool,United Kingdom
Casement Air Base,Blackpool,United Kingdom
Shannon Airport,Blackpool,United Kingdom
Sligo Airport,Blackpool,United Kingdom
Waterford Airport,Blackpool,United Kingdom
Nottingham Airport,Blackpool,United Kingdom
Campbeltown Airport,Blackpool,United Kingdom
Eday Airport,Blackpool,United Kingdom
Fair Isle Airport,Blackpool,United Kingdom
North Ronaldsay Airport,Blackpool,United Kingdom
Papa Westray Airport,Blackpool,United Kingdom
Stronsay Airport,Blackpool,United Kingdom
Sanday Airport,Blackpool,United Kingdom
Lerwick / Tingwall Airport,Blackpool,United Kingdom
Westray Airport,Blackpool,United Kingdom
Penzance Heliport,Blackpool,United Kingdom
Anglesey Airport,Blackpool,United Kingdom
Barra Airport,Blackpool,United Kingdom
Donegal Airport,Blackpool,United Kingdom
Weston Airport,Blackpool,United Kingdom
Outer Skerries Airport,Blackpool,United Kingdom
Inishmore Aerodrome,Blackpool,United Kingdom
Connemara Regional Airport,Blackpool,United Kingdom
Unst Airport,Blackpool,United Kingdom
Oban Airport,Blackpool,United Kingdom
Isle of Wight / Sandown Airport,Blackpool,United Kingdom
Lympne Airport,Blackpool,United Kingdom
Inisheer Aerodrome,Blackpool,United Kingdom
Inishmaan Aerodrome,Blackpool,United Kingdom
Colonsay Airstrip,Blackpool,United Kingdom
Tresco Heliport,Blackpool,United Kingdom
London Heliport,Blackpool,United Kingdom
White Waltham Airfield,Blackpool,United Kingdom
Wycombe Air Park,Blackpool,United Kingdom
Bembridge Airport,Blackpool,United Kingdom
Compton Abbas Aerodrome,Blackpool,United Kingdom
Glasgow City Heliport,Blackpool,United Kingdom
Orlampa Inc Airport,Blackpool,United Kingdom
Perth/Scone Airport,Blackpool,United Kingdom
Caernarfon Airport,Blackpool,United Kingdom
Newcastle Aerodrome,Blackpool,United Kingdom
Bantry Aerodrome,Blackpool,United Kingdom
Duxford Aerodrome,Blackpool,United Kingdom
Fairoaks Airport,Blackpool,United Kingdom
Rochester Airport,Blackpool,United Kingdom
Rothera Research Station,Blackpool,United Kingdom
Beccles Airport,Blackpool,United Kingdom
RAF Brawdy,Blackpool,United Kingdom
Redhill Aerodrome,Blackpool,United Kingdom
Enstone Aerodrome,Blackpool,United Kingdom
Elstree Airfield,Blackpool,United Kingdom
Sandtoft Airfield,Blackpool,United Kingdom
Popham Airfield,Blackpool,United Kingdom
City Airport Manchester,Blackpool,United Kingdom
Sleap Airport,Blackpool,United Kingdom
Tatenhill Airfield,Blackpool,United Kingdom
Full Sutton Airfield,Blackpool,United Kingdom
Sherburn-In-Elmet Airfield,Blackpool,United Kingdom
Shobdon Aerodrome,Blackpool,United Kingdom
Newtownards Airport,Blackpool,United Kingdom
Lashenden (Headcorn) Airfield,Blackpool,United Kingdom
Panshanger Aerodrome,Blackpool,United Kingdom
Thurrock Airfield,Blackpool,United Kingdom
Stapleford Aerodrome,Blackpool,United Kingdom
Chichester/Goodwood Airport,Blackpool,United Kingdom
RAF Spadeadam,Blackpool,United Kingdom
RAF Kinloss,Blackpool,United Kingdom
RAF Mona,Blackpool,United Kingdom
St. Helena Airport,Blackpool,United Kingdom
Belfast International Airport,Humberside,United Kingdom
St Angelo Airport,Humberside,United Kingdom
George Best Belfast City Airport,Humberside,United Kingdom
City of Derry Airport,Humberside,United Kingdom
Birmingham International Airport,Humberside,United Kingdom
Coventry Airport,Humberside,United Kingdom
Leicester Airport,Humberside,United Kingdom
Gloucestershire Airport,Humberside,United Kingdom
Wolverhampton Halfpenny Green Airport,Humberside,United Kingdom
Cotswold Airport,Humberside,United Kingdom
Turweston Airport,Humberside,United Kingdom
Wellesbourne Mountford Airport,Humberside,United Kingdom
Manchester Airport,Humberside,United Kingdom
Manchester Woodford Airport,Humberside,United Kingdom
Royal Marines Base Chivenor Airport,Humberside,United Kingdom
Newquay Cornwall Airport,Humberside,United Kingdom
RAF Lyneham,Humberside,United Kingdom
MoD Boscombe Down Airport,Humberside,United Kingdom
RNAS Culdrose,Humberside,United Kingdom
MoD St. Athan,Humberside,United Kingdom
RNAS Yeovilton,Humberside,United Kingdom
Haverfordwest Airport,Humberside,United Kingdom
Cardiff International Airport,Humberside,United Kingdom
Swansea Airport,Humberside,United Kingdom
Bristol Airport,Humberside,United Kingdom
Liverpool John Lennon Airport,Humberside,United Kingdom
London Luton Airport,Humberside,United Kingdom
Plymouth City Airport,Humberside,United Kingdom
Bournemouth Airport,Humberside,United Kingdom
Southampton Airport,Humberside,United Kingdom
Lasham Airport,Humberside,United Kingdom
Shoreham Airport,Humberside,United Kingdom
London Biggin Hill Airport,Humberside,United Kingdom
London Gatwick Airport,Humberside,United Kingdom
London City Airport,Humberside,United Kingdom
Farnborough Airport,Humberside,United Kingdom
Chalgrove Airport,Humberside,United Kingdom
Blackbushe Airport,Humberside,United Kingdom
London Heathrow Airport,Humberside,United Kingdom
Southend Airport,Humberside,United Kingdom
Lydd Airport,Humberside,United Kingdom
Kent International Airport,Humberside,United Kingdom
Brough Airport,Humberside,United Kingdom
Carlisle Airport,Humberside,United Kingdom
Retford Gamston Airport,Humberside,United Kingdom
Blackpool International Airport,Humberside,United Kingdom
Humberside Airport,Humberside,United Kingdom
Barrow Walney Island Airport,Humberside,United Kingdom
Leeds Bradford Airport,Humberside,United Kingdom
Warton Airport,Humberside,United Kingdom
Hawarden Airport,Humberside,United Kingdom
Newcastle Airport,Humberside,United Kingdom
Durham Tees Valley Airport,Humberside,United Kingdom
East Midlands Airport,Humberside,United Kingdom
Llanbedr Airport,Humberside,United Kingdom
RAF Ternhill,Humberside,United Kingdom
RAF Shawbury,Humberside,United Kingdom
RAF Woodvale,Humberside,United Kingdom
Kirkwall Airport,Humberside,United Kingdom
Sumburgh Airport,Humberside,United Kingdom
Wick Airport,Humberside,United Kingdom
Aberdeen Dyce Airport,Humberside,United Kingdom
Inverness Airport,Humberside,United Kingdom
Glasgow International Airport,Humberside,United Kingdom
Edinburgh Airport,Humberside,United Kingdom
Islay Airport,Humberside,United Kingdom
Glasgow Prestwick Airport,Humberside,United Kingdom
Benbecula Airport,Humberside,United Kingdom
Scatsta Airport,Humberside,United Kingdom
Dundee Airport,Humberside,United Kingdom
Stornoway Airport,Humberside,United Kingdom
Tiree Airport,Humberside,United Kingdom
RAF Leuchars,Humberside,United Kingdom
RAF Lossiemouth,Humberside,United Kingdom
Cambridge Airport,Humberside,United Kingdom
Peterborough Business Airport,Humberside,United Kingdom
Norwich International Airport,Humberside,United Kingdom
London Stansted Airport,Humberside,United Kingdom
North Weald Airport,Humberside,United Kingdom
Sheffield City Heliport,Humberside,United Kingdom
Cranfield Airport,Humberside,United Kingdom
Exeter International Airport,Humberside,United Kingdom
Bristol Filton Airport,Humberside,United Kingdom
Oxford (Kidlington) Airport,Humberside,United Kingdom
RAF Benson,Humberside,United Kingdom
RAF Lakenheath,Humberside,United Kingdom
RAF Mildenhall,Humberside,United Kingdom
RAF Wattisham,Humberside,United Kingdom
RAF Wyton,Humberside,United Kingdom
RAF Fairford,Humberside,United Kingdom
RAF Brize Norton,Humberside,United Kingdom
RAF Odiham,Humberside,United Kingdom
DCAE Cosford Air Base,Humberside,United Kingdom
RAF Northolt,Humberside,United Kingdom
RAF Coningsby,Humberside,United Kingdom
RAF Dishforth,Humberside,United Kingdom
Leeming Airport,Humberside,United Kingdom
Leeds East Airport,Humberside,United Kingdom
RAF Honington,Humberside,United Kingdom
RAF Cottesmore,Humberside,United Kingdom
RAF Scampton,Humberside,United Kingdom
RAF Wittering,Humberside,United Kingdom
RAF Linton-On-Ouse,Humberside,United Kingdom
RAF Waddington,Humberside,United Kingdom
RAF Topcliffe,Humberside,United Kingdom
RAF Cranwell,Humberside,United Kingdom
RAF Barkston Heath,Humberside,United Kingdom
RAF Marham,Humberside,United Kingdom
Cork Airport,Humberside,United Kingdom
Galway Airport,Humberside,United Kingdom
Dublin Airport,Humberside,United Kingdom
Ireland West Knock Airport,Humberside,United Kingdom
Kerry Airport,Humberside,United Kingdom
Casement Air Base,Humberside,United Kingdom
Shannon Airport,Humberside,United Kingdom
Sligo Airport,Humberside,United Kingdom
Waterford Airport,Humberside,United Kingdom
Nottingham Airport,Humberside,United Kingdom
Campbeltown Airport,Humberside,United Kingdom
Eday Airport,Humberside,United Kingdom
Fair Isle Airport,Humberside,United Kingdom
North Ronaldsay Airport,Humberside,United Kingdom
Papa Westray Airport,Humberside,United Kingdom
Stronsay Airport,Humberside,United Kingdom
Sanday Airport,Humberside,United Kingdom
Lerwick / Tingwall Airport,Humberside,United Kingdom
Westray Airport,Humberside,United Kingdom
Penzance Heliport,Humberside,United Kingdom
Anglesey Airport,Humberside,United Kingdom
Barra Airport,Humberside,United Kingdom
Donegal Airport,Humberside,United Kingdom
Weston Airport,Humberside,United Kingdom
Outer Skerries Airport,Humberside,United Kingdom
Inishmore Aerodrome,Humberside,United Kingdom
Connemara Regional Airport,Humberside,United Kingdom
Unst Airport,Humberside,United Kingdom
Oban Airport,Humberside,United Kingdom
Isle of Wight / Sandown Airport,Humberside,United Kingdom
Lympne Airport,Humberside,United Kingdom
Inisheer Aerodrome,Humberside,United Kingdom
Inishmaan Aerodrome,Humberside,United Kingdom
Colonsay Airstrip,Humberside,United Kingdom
Tresco Heliport,Humberside,United Kingdom
London Heliport,Humberside,United Kingdom
White Waltham Airfield,Humberside,United Kingdom
Wycombe Air Park,Humberside,United Kingdom
Bembridge Airport,Humberside,United Kingdom
Compton Abbas Aerodrome,Humberside,United Kingdom
Glasgow City Heliport,Humberside,United Kingdom
Orlampa Inc Airport,Humberside,United Kingdom
Perth/Scone Airport,Humberside,United Kingdom
Caernarfon Airport,Humberside,United Kingdom
Newcastle Aerodrome,Humberside,United Kingdom
Bantry Aerodrome,Humberside,United Kingdom
Duxford Aerodrome,Humberside,United Kingdom
Fairoaks Airport,Humberside,United Kingdom
Rochester Airport,Humberside,United Kingdom
Rothera Research Station,Humberside,United Kingdom
Beccles Airport,Humberside,United Kingdom
RAF Brawdy,Humberside,United Kingdom
Redhill Aerodrome,Humberside,United Kingdom
Enstone Aerodrome,Humberside,United Kingdom
Elstree Airfield,Humberside,United Kingdom
Sandtoft Airfield,Humberside,United Kingdom
Popham Airfield,Humberside,United Kingdom
City Airport Manchester,Humberside,United Kingdom
Sleap Airport,Humberside,United Kingdom
Tatenhill Airfield,Humberside,United Kingdom
Full Sutton Airfield,Humberside,United Kingdom
Sherburn-In-Elmet Airfield,Humberside,United Kingdom
Shobdon Aerodrome,Humberside,United Kingdom
Newtownards Airport,Humberside,United Kingdom
Lashenden (Headcorn) Airfield,Humberside,United Kingdom
Panshanger Aerodrome,Humberside,United Kingdom
Thurrock Airfield,Humberside,United Kingdom
Stapleford Aerodrome,Humberside,United Kingdom
Chichester/Goodwood Airport,Humberside,United Kingdom
RAF Spadeadam,Humberside,United Kingdom
RAF Kinloss,Humberside,United Kingdom
RAF Mona,Humberside,United Kingdom
St. Helena Airport,Humberside,United Kingdom
Belfast International Airport,Barrow Island,United Kingdom
St Angelo Airport,Barrow Island,United Kingdom
George Best Belfast City Airport,Barrow Island,United Kingdom
City of Derry Airport,Barrow Island,United Kingdom
Birmingham International Airport,Barrow Island,United Kingdom
Coventry Airport,Barrow Island,United Kingdom
Leicester Airport,Barrow Island,United Kingdom
Gloucestershire Airport,Barrow Island,United Kingdom
Wolverhampton Halfpenny Green Airport,Barrow Island,United Kingdom
Cotswold Airport,Barrow Island,United Kingdom
Turweston Airport,Barrow Island,United Kingdom
Wellesbourne Mountford Airport,Barrow Island,United Kingdom
Manchester Airport,Barrow Island,United Kingdom
Manchester Woodford Airport,Barrow Island,United Kingdom
Royal Marines Base Chivenor Airport,Barrow Island,United Kingdom
Newquay Cornwall Airport,Barrow Island,United Kingdom
RAF Lyneham,Barrow Island,United Kingdom
MoD Boscombe Down Airport,Barrow Island,United Kingdom
RNAS Culdrose,Barrow Island,United Kingdom
MoD St. Athan,Barrow Island,United Kingdom
RNAS Yeovilton,Barrow Island,United Kingdom
Haverfordwest Airport,Barrow Island,United Kingdom
Cardiff International Airport,Barrow Island,United Kingdom
Swansea Airport,Barrow Island,United Kingdom
Bristol Airport,Barrow Island,United Kingdom
Liverpool John Lennon Airport,Barrow Island,United Kingdom
London Luton Airport,Barrow Island,United Kingdom
Plymouth City Airport,Barrow Island,United Kingdom
Bournemouth Airport,Barrow Island,United Kingdom
Southampton Airport,Barrow Island,United Kingdom
Lasham Airport,Barrow Island,United Kingdom
Shoreham Airport,Barrow Island,United Kingdom
London Biggin Hill Airport,Barrow Island,United Kingdom
London Gatwick Airport,Barrow Island,United Kingdom
London City Airport,Barrow Island,United Kingdom
Farnborough Airport,Barrow Island,United Kingdom
Chalgrove Airport,Barrow Island,United Kingdom
Blackbushe Airport,Barrow Island,United Kingdom
London Heathrow Airport,Barrow Island,United Kingdom
Southend Airport,Barrow Island,United Kingdom
Lydd Airport,Barrow Island,United Kingdom
Kent International Airport,Barrow Island,United Kingdom
Brough Airport,Barrow Island,United Kingdom
Carlisle Airport,Barrow Island,United Kingdom
Retford Gamston Airport,Barrow Island,United Kingdom
Blackpool International Airport,Barrow Island,United Kingdom
Humberside Airport,Barrow Island,United Kingdom
Barrow Walney Island Airport,Barrow Island,United Kingdom
Leeds Bradford Airport,Barrow Island,United Kingdom
Warton Airport,Barrow Island,United Kingdom
Hawarden Airport,Barrow Island,United Kingdom
Newcastle Airport,Barrow Island,United Kingdom
Durham Tees Valley Airport,Barrow Island,United Kingdom
East Midlands Airport,Barrow Island,United Kingdom
Llanbedr Airport,Barrow Island,United Kingdom
RAF Ternhill,Barrow Island,United Kingdom
RAF Shawbury,Barrow Island,United Kingdom
RAF Woodvale,Barrow Island,United Kingdom
Kirkwall Airport,Barrow Island,United Kingdom
Sumburgh Airport,Barrow Island,United Kingdom
Wick Airport,Barrow Island,United Kingdom
Aberdeen Dyce Airport,Barrow Island,United Kingdom
Inverness Airport,Barrow Island,United Kingdom
Glasgow International Airport,Barrow Island,United Kingdom
Edinburgh Airport,Barrow Island,United Kingdom
Islay Airport,Barrow Island,United Kingdom
Glasgow Prestwick Airport,Barrow Island,United Kingdom
Benbecula Airport,Barrow Island,United Kingdom
Scatsta Airport,Barrow Island,United Kingdom
Dundee Airport,Barrow Island,United Kingdom
Stornoway Airport,Barrow Island,United Kingdom
Tiree Airport,Barrow Island,United Kingdom
RAF Leuchars,Barrow Island,United Kingdom
RAF Lossiemouth,Barrow Island,United Kingdom
Cambridge Airport,Barrow Island,United Kingdom
Peterborough Business Airport,Barrow Island,United Kingdom
Norwich International Airport,Barrow Island,United Kingdom
London Stansted Airport,Barrow Island,United Kingdom
North Weald Airport,Barrow Island,United Kingdom
Sheffield City Heliport,Barrow Island,United Kingdom
Cranfield Airport,Barrow Island,United Kingdom
Exeter International Airport,Barrow Island,United Kingdom
Bristol Filton Airport,Barrow Island,United Kingdom
Oxford (Kidlington) Airport,Barrow Island,United Kingdom
RAF Benson,Barrow Island,United Kingdom
RAF Lakenheath,Barrow Island,United Kingdom
RAF Mildenhall,Barrow Island,United Kingdom
RAF Wattisham,Barrow Island,United Kingdom
RAF Wyton,Barrow Island,United Kingdom
RAF Fairford,Barrow Island,United Kingdom
RAF Brize Norton,Barrow Island,United Kingdom
RAF Odiham,Barrow Island,United Kingdom
DCAE Cosford Air Base,Barrow Island,United Kingdom
RAF Northolt,Barrow Island,United Kingdom
RAF Coningsby,Barrow Island,United Kingdom
RAF Dishforth,Barrow Island,United Kingdom
Leeming Airport,Barrow Island,United Kingdom
Leeds East Airport,Barrow Island,United Kingdom
RAF Honington,Barrow Island,United Kingdom
RAF Cottesmore,Barrow Island,United Kingdom
RAF Scampton,Barrow Island,United Kingdom
RAF Wittering,Barrow Island,United Kingdom
RAF Linton-On-Ouse,Barrow Island,United Kingdom
RAF Waddington,Barrow Island,United Kingdom
RAF Topcliffe,Barrow Island,United Kingdom
RAF Cranwell,Barrow Island,United Kingdom
RAF Barkston Heath,Barrow Island,United Kingdom
RAF Marham,Barrow Island,United Kingdom
Cork Airport,Barrow Island,United Kingdom
Galway Airport,Barrow Island,United Kingdom
Dublin Airport,Barrow Island,United Kingdom
Ireland West Knock Airport,Barrow Island,United Kingdom
Kerry Airport,Barrow Island,United Kingdom
Casement Air Base,Barrow Island,United Kingdom
Shannon Airport,Barrow Island,United Kingdom
Sligo Airport,Barrow Island,United Kingdom
Waterford Airport,Barrow Island,United Kingdom
Nottingham Airport,Barrow Island,United Kingdom
Campbeltown Airport,Barrow Island,United Kingdom
Eday Airport,Barrow Island,United Kingdom
Fair Isle Airport,Barrow Island,United Kingdom
North Ronaldsay Airport,Barrow Island,United Kingdom
Papa Westray Airport,Barrow Island,United Kingdom
Stronsay Airport,Barrow Island,United Kingdom
Sanday Airport,Barrow Island,United Kingdom
Lerwick / Tingwall Airport,Barrow Island,United Kingdom
Westray Airport,Barrow Island,United Kingdom
Penzance Heliport,Barrow Island,United Kingdom
Anglesey Airport,Barrow Island,United Kingdom
Barra Airport,Barrow Island,United Kingdom
Donegal Airport,Barrow Island,United Kingdom
Weston Airport,Barrow Island,United Kingdom
Outer Skerries Airport,Barrow Island,United Kingdom
Inishmore Aerodrome,Barrow Island,United Kingdom
Connemara Regional Airport,Barrow Island,United Kingdom
Unst Airport,Barrow Island,United Kingdom
Oban Airport,Barrow Island,United Kingdom
Isle of Wight / Sandown Airport,Barrow Island,United Kingdom
Lympne Airport,Barrow Island,United Kingdom
Inisheer Aerodrome,Barrow Island,United Kingdom
Inishmaan Aerodrome,Barrow Island,United Kingdom
Colonsay Airstrip,Barrow Island,United Kingdom
Tresco Heliport,Barrow Island,United Kingdom
London Heliport,Barrow Island,United Kingdom
White Waltham Airfield,Barrow Island,United Kingdom
Wycombe Air Park,Barrow Island,United Kingdom
Bembridge Airport,Barrow Island,United Kingdom
Compton Abbas Aerodrome,Barrow Island,United Kingdom
Glasgow City Heliport,Barrow Island,United Kingdom
Orlampa Inc Airport,Barrow Island,United Kingdom
Perth/Scone Airport,Barrow Island,United Kingdom
Caernarfon Airport,Barrow Island,United Kingdom
Newcastle Aerodrome,Barrow Island,United Kingdom
Bantry Aerodrome,Barrow Island,United Kingdom
Duxford Aerodrome,Barrow Island,United Kingdom
Fairoaks Airport,Barrow Island,United Kingdom
Rochester Airport,Barrow Island,United Kingdom
Rothera Research Station,Barrow Island,United Kingdom
Beccles Airport,Barrow Island,United Kingdom
RAF Brawdy,Barrow Island,United Kingdom
Redhill Aerodrome,Barrow Island,United Kingdom
Enstone Aerodrome,Barrow Island,United Kingdom
Elstree Airfield,Barrow Island,United Kingdom
Sandtoft Airfield,Barrow Island,United Kingdom
Popham Airfield,Barrow Island,United Kingdom
City Airport Manchester,Barrow Island,United Kingdom
Sleap Airport,Barrow Island,United Kingdom
Tatenhill Airfield,Barrow Island,United Kingdom
Full Sutton Airfield,Barrow Island,United Kingdom
Sherburn-In-Elmet Airfield,Barrow Island,United Kingdom
Shobdon Aerodrome,Barrow Island,United Kingdom
Newtownards Airport,Barrow Island,United Kingdom
Lashenden (Headcorn) Airfield,Barrow Island,United Kingdom
Panshanger Aerodrome,Barrow Island,United Kingdom
Thurrock Airfield,Barrow Island,United Kingdom
Stapleford Aerodrome,Barrow Island,United Kingdom
Chichester/Goodwood Airport,Barrow Island,United Kingdom
RAF Spadeadam,Barrow Island,United Kingdom
RAF Kinloss,Barrow Island,United Kingdom
RAF Mona,Barrow Island,United Kingdom
St. Helena Airport,Barrow Island,United Kingdom
Belfast International Airport,Leeds,United Kingdom
St Angelo Airport,Leeds,United Kingdom
George Best Belfast City Airport,Leeds,United Kingdom
City of Derry Airport,Leeds,United Kingdom
Birmingham International Airport,Leeds,United Kingdom
Coventry Airport,Leeds,United Kingdom
Leicester Airport,Leeds,United Kingdom
Gloucestershire Airport,Leeds,United Kingdom
Wolverhampton Halfpenny Green Airport,Leeds,United Kingdom
Cotswold Airport,Leeds,United Kingdom
Turweston Airport,Leeds,United Kingdom
Wellesbourne Mountford Airport,Leeds,United Kingdom
Manchester Airport,Leeds,United Kingdom
Manchester Woodford Airport,Leeds,United Kingdom
Royal Marines Base Chivenor Airport,Leeds,United Kingdom
Newquay Cornwall Airport,Leeds,United Kingdom
RAF Lyneham,Leeds,United Kingdom
MoD Boscombe Down Airport,Leeds,United Kingdom
RNAS Culdrose,Leeds,United Kingdom
MoD St. Athan,Leeds,United Kingdom
RNAS Yeovilton,Leeds,United Kingdom
Haverfordwest Airport,Leeds,United Kingdom
Cardiff International Airport,Leeds,United Kingdom
Swansea Airport,Leeds,United Kingdom
Bristol Airport,Leeds,United Kingdom
Liverpool John Lennon Airport,Leeds,United Kingdom
London Luton Airport,Leeds,United Kingdom
Plymouth City Airport,Leeds,United Kingdom
Bournemouth Airport,Leeds,United Kingdom
Southampton Airport,Leeds,United Kingdom
Lasham Airport,Leeds,United Kingdom
Shoreham Airport,Leeds,United Kingdom
London Biggin Hill Airport,Leeds,United Kingdom
London Gatwick Airport,Leeds,United Kingdom
London City Airport,Leeds,United Kingdom
Farnborough Airport,Leeds,United Kingdom
Chalgrove Airport,Leeds,United Kingdom
Blackbushe Airport,Leeds,United Kingdom
London Heathrow Airport,Leeds,United Kingdom
Southend Airport,Leeds,United Kingdom
Lydd Airport,Leeds,United Kingdom
Kent International Airport,Leeds,United Kingdom
Brough Airport,Leeds,United Kingdom
Carlisle Airport,Leeds,United Kingdom
Retford Gamston Airport,Leeds,United Kingdom
Blackpool International Airport,Leeds,United Kingdom
Humberside Airport,Leeds,United Kingdom
Barrow Walney Island Airport,Leeds,United Kingdom
Leeds Bradford Airport,Leeds,United Kingdom
Warton Airport,Leeds,United Kingdom
Hawarden Airport,Leeds,United Kingdom
Newcastle Airport,Leeds,United Kingdom
Durham Tees Valley Airport,Leeds,United Kingdom
East Midlands Airport,Leeds,United Kingdom
Llanbedr Airport,Leeds,United Kingdom
RAF Ternhill,Leeds,United Kingdom
RAF Shawbury,Leeds,United Kingdom
RAF Woodvale,Leeds,United Kingdom
Kirkwall Airport,Leeds,United Kingdom
Sumburgh Airport,Leeds,United Kingdom
Wick Airport,Leeds,United Kingdom
Aberdeen Dyce Airport,Leeds,United Kingdom
Inverness Airport,Leeds,United Kingdom
Glasgow International Airport,Leeds,United Kingdom
Edinburgh Airport,Leeds,United Kingdom
Islay Airport,Leeds,United Kingdom
Glasgow Prestwick Airport,Leeds,United Kingdom
Benbecula Airport,Leeds,United Kingdom
Scatsta Airport,Leeds,United Kingdom
Dundee Airport,Leeds,United Kingdom
Stornoway Airport,Leeds,United Kingdom
Tiree Airport,Leeds,United Kingdom
RAF Leuchars,Leeds,United Kingdom
RAF Lossiemouth,Leeds,United Kingdom
Cambridge Airport,Leeds,United Kingdom
Peterborough Business Airport,Leeds,United Kingdom
Norwich International Airport,Leeds,United Kingdom
London Stansted Airport,Leeds,United Kingdom
North Weald Airport,Leeds,United Kingdom
Sheffield City Heliport,Leeds,United Kingdom
Cranfield Airport,Leeds,United Kingdom
Exeter International Airport,Leeds,United Kingdom
Bristol Filton Airport,Leeds,United Kingdom
Oxford (Kidlington) Airport,Leeds,United Kingdom
RAF Benson,Leeds,United Kingdom
RAF Lakenheath,Leeds,United Kingdom
RAF Mildenhall,Leeds,United Kingdom
RAF Wattisham,Leeds,United Kingdom
RAF Wyton,Leeds,United Kingdom
RAF Fairford,Leeds,United Kingdom
RAF Brize Norton,Leeds,United Kingdom
RAF Odiham,Leeds,United Kingdom
DCAE Cosford Air Base,Leeds,United Kingdom
RAF Northolt,Leeds,United Kingdom
RAF Coningsby,Leeds,United Kingdom
RAF Dishforth,Leeds,United Kingdom
Leeming Airport,Leeds,United Kingdom
Leeds East Airport,Leeds,United Kingdom
RAF Honington,Leeds,United Kingdom
RAF Cottesmore,Leeds,United Kingdom
RAF Scampton,Leeds,United Kingdom
RAF Wittering,Leeds,United Kingdom
RAF Linton-On-Ouse,Leeds,United Kingdom
RAF Waddington,Leeds,United Kingdom
RAF Topcliffe,Leeds,United Kingdom
RAF Cranwell,Leeds,United Kingdom
RAF Barkston Heath,Leeds,United Kingdom
RAF Marham,Leeds,United Kingdom
Cork Airport,Leeds,United Kingdom
Galway Airport,Leeds,United Kingdom
Dublin Airport,Leeds,United Kingdom
Ireland West Knock Airport,Leeds,United Kingdom
Kerry Airport,Leeds,United Kingdom
Casement Air Base,Leeds,United Kingdom
Shannon Airport,Leeds,United Kingdom
Sligo Airport,Leeds,United Kingdom
Waterford Airport,Leeds,United Kingdom
Nottingham Airport,Leeds,United Kingdom
Campbeltown Airport,Leeds,United Kingdom
